"11Giraffes","https://manage.11giraffes.com/","{\"learned_xpath_password_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[4]/td/input\", \"learned_xpath_username_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[2]/td/input\", \"learned_xpath_username\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_UserName\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[7]/td/input\", \"learned_xpath_click\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_LoginButton\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_Password\"}"
"24SevenOffice","https://app.24sevenoffice.com/login/","{\"learned_xpath_click\": \"#btnLogin\", \"learned_xpath_password\": \"#pw\", \"learned_xpath_username\": \"#un\"}"
"4imprint","https://secure.4imprint.com/registration/login.aspx","{\"learned_xpath_click\": \"#ContentPlaceHolder1_login1_btnLogin\", \"learned_xpath_password\": \"#ContentPlaceHolder1_login1_txtPassword\", \"learned_xpath_username\": \"#ContentPlaceHolder1_login1_txtEmail\"}"
"8X8 Account Manager","https://sso.8x8.com/login/acctmgr","{\"learned_xpath_password_xpath\": \"/html/body/div[3]/div/div/div/div[2]/div/ul/li[2]/div/form/div/div[2]/div/input\", \"learned_xpath_username_xpath\": \"/html/body/div[3]/div/div/div/div[2]/div/ul/li[2]/div/form/div/div/div/input\", \"learned_xpath_username\": \"#username\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/div[3]/div/div/div/div[2]/div/ul/li[2]/div/form/div/div[3]/button\", \"learned_xpath_click\": \"#loginSubmit\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#txtPassword\"}"
"8X8 Virtual Office","https://sso.8x8.com/login/uc","{\"learned_xpath_password_xpath\": \"/html/body/div[3]/div/div/div/div[2]/div/ul/li[2]/div/form/div/div[2]/div/input\", \"learned_xpath_username_xpath\": \"/html/body/div[3]/div/div/div/div[2]/div/ul/li[2]/div/form/div/div/div/input\", \"learned_xpath_username\": \"#username\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/div[3]/div/div/div/div[2]/div/ul/li[2]/div/form/div/div[3]/button\", \"learned_xpath_click\": \"#loginSubmit\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#txtPassword\"}"
"Acapela Group","http://www.acapela-vaas.com/","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][value\\u003d\\u0027login\\u0027]\", \"learned_xpath_password\": \"INPUT[type\\u003d\\u0027password\\u0027][name\\u003d\\u0027password\\u0027]\", \"learned_xpath_username\": \"INPUT[type\\u003d\\u0027text\\u0027][name\\u003d\\u0027login\\u0027]\"}"
"AccelOps Customer Support Portal","https://accelops.zendesk.com/access/unauthenticated#login","{\"learned_xpath_username\": \"#user_email\", \"learned_doc_id_username\": \"0\", \"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][name\\u003d\\u0027commit\\u0027][class\\u003d\\u0027button primary\\u0027]\", \"learned_doc_id_password\": \"0\", \"learned_doc_id_click\": \"0\", \"learned_xpath_password\": \"#user_password\"}"
"Accept360","http://help.accept360.com/login.action","{\"learned_xpath_click\": \"#loginButton\", \"learned_xpath_password\": \"#os_password\", \"learned_xpath_username\": \"#os_username\"}"
"Accertify","https://sites.accertify.com/Login/","{\"learned_xpath_click\": \"#ctl00_RegionPage_RegionMainWrapperContainer_RegionContentFullWidth_RegionMainContent_buttonLogin\", \"learned_xpath_password\": \"#txtPassword\", \"learned_xpath_username\": \"#txtUsername\"}"
"AccessLine","https://exchange.intermedia.net/ControlPanel/Login","{\"learned_xpath_click\": \"BUTTON[type\\u003d\\u0027submit\\u0027][class\\u003d\\u0027btn m-success m-large login-form-button\\u0027]\", \"learned_xpath_password\": \"#Password\", \"learned_xpath_username\": \"#Login\"}"
"Accompa","https://www.accompa.com/login.html","{\"learned_xpath_click\": \"#cmd_submit\", \"learned_xpath_password\": \"#txt_password\", \"learned_xpath_username\": \"#txt_email\"}"
